copd_me_3_rrmse_3_11_7_13, mntl_bh_p_me_2_rate_3_11_7_13, asthma_me_3_rrmse_3_11_7_13, area_code, mntl_bh_m_me_2_rate_3_11_7_13, copd_me_1_no_3_11_7_13, hypertens_me_1_no_3_11_7_13, hypertens_me_3_rrmse_3_11_7_13, respirtry_me_1_no_3_11_7_13, mntl_bh_m_me_1_no_3_11_7_13, hg_choles_me_2_rate_3_11_7_13, asthma_me_2_rate_3_11_7_13, diabetes_me_2_rate_3_11_7_13, musculo_me_3_rrmse_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, area_name, arthritis_me_1_no_3_11_7_13, respirtry_me_2_rate_3_11_7_13, arthritis_me_2_rate_3_11_7_13, hypertens_me_2_rate_3_11_7_13, circ_me_2_rate_3_11_7_13, mntl_bh_f_me_1_no_3_11_7_13, diabetes_me_3_rrmse_3_11_7_13, hg_choles_me_1_no_3_11_7_13, circ_me_3_rrmse_3_11_7_13, respirtry_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, diabetes_me_1_no_3_11_7_13, asthma_me_1_no_3_11_7_13, mntl_bh_p_me_1_no_3_11_7_13, mntl_bh_f_me_2_rate_3_11_7_13, circ_me_1_no_3_11_7_13, musculo_me_2_rate_3_11_7_13, musculo_me_1_no_3_11_7_13, arthritis_me_3_rrmse_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13, copd_me_2_rate_3_11_7_13, hg_choles_me_3_rrmse_3_11_7_13
1.0,12.8118992652516,3.0,21270,11.9535645819255,174.615391870873,839.428262066793,3.0,2071.87657325749,393.928225077455,35.6426507032693,13.776186304944,3.73792426522959,3.0,3.0,"Buloke (S)",1457.48556950055,32.2018100388649,16.4853591178779,9.14299887839347,17.4077783194539,439.29743176418,1.0,1898.7584680612,3.0,3.0,3.0,256.141790981244,888.823483165688,833.225656841634,13.7787768095062,1489.43119898124,28.9172443225793,2244.58918906418,3.0,3.0,2.16518346734999,3.0
3.0,14.1322469410011,3.0,21370,11.6505026230039,903.789319190794,4304.380948309,3.0,11394.3500432713,2187.01990874209,34.2252201212483,13.7322184029664,3.74339887478964,3.0,3.0,"Campaspe (S)",6829.98960163736,30.9632047684864,15.5218560053264,9.56964457041326,17.0422738973221,3038.90399425412,3.0,10008.5742104448,3.0,3.0,3.0,1277.98351073105,5076.05776810622,5225.92390299622,16.6477764311599,7254.90963886633,28.3390026994233,11499.3048974846,3.0,3.0,2.16469124411365,3.0
3.0,12.1763091441558,3.0,21450,10.1520856659722,1341.55345719523,6810.87950749099,3.0,22597.0214692452,3845.83167681076,32.8081905433248,12.9837654629585,3.8047189906492,3.0,3.0,"Cardinia (S)",9269.83929075714,29.7331854920456,13.9570311759752,10.4360528565261,17.3374091268434,5293.3503887982,3.0,18279.6688042353,3.0,3.0,3.0,1960.13401762448,9952.1471288817,9139.18206560896,14.1760696966601,11226.2032446393,27.7056768748828,19313.0568024222,3.0,3.0,1.92700067438589,3.0
3.0,11.5775616546423,3.0,21610,8.86522412323654,3978.821708,21567.4966379,3.0,72897.7852819,11690.1838916,32.9015527698031,10.0629421775973,5.25885535579664,3.0,3.0,"Casey (C)",29027.3214386,27.7135563918354,13.5966788863109,10.3861430422917,17.0955164945095,18368.0719387,3.0,62744.7867076,3.0,3.0,3.0,8662.1944179,26636.9380602,30058.2558303,14.2968920456941,35747.174055,26.5339865722203,61700.0887386,3.0,3.0,1.74205110380149,3.0
3.0,16.0125805340618,3.0,21670,13.8272097155336,362.363042790394,1771.98977310135,3.0,3834.4123035966,882.585856556511,32.8742518730425,13.4400847521984,4.11711831039017,3.0,3.0,"Central Goldfields (S)",3147.36108444184,30.5101799389118,17.9086950032605,9.73117403072408,18.1309103719393,1159.69239580526,3.0,3485.20517680671,3.0,3.0,3.0,564.503221049068,1690.73793321676,2042.27825236177,18.2515153501318,3069.49201593613,29.683493842128,4569.95514176872,3.0,3.0,2.26364568415356,3.0
3.0,14.0620318234002,3.0,21750,11.7995247792222,487.619031468627,2418.39611155644,3.0,7178.9658149409,1247.8759721948,36.8137007063518,13.5967201864259,3.66273922002231,3.0,3.0,"Colac-Otway (S)",3598.24735669566,34.7980388481971,14.5841060049594,9.60604541595297,16.6017042892427,1681.23541292862,3.0,6113.11769560429,3.0,3.0,3.0,697.195166229075,2814.18211221615,2929.11138512342,16.3998291453843,3964.63568436815,27.653578350509,6318.95210687719,3.0,3.0,2.08038063073437,3.0
1.0,13.1847494988478,3.0,21830,11.5482933366381,389.930997366956,2041.87087624801,3.0,5796.65211421239,980.484246291081,35.7401275121934,13.21153417873,3.54494998788549,3.0,3.0,"Corangamite (S)",3088.52139278604,35.1707462395792,15.3815876588864,9.95069622046726,16.8939933915839,1205.94920484169,3.0,4733.16532077488,3.0,3.0,3.0,551.338453913487,2190.40462450409,2186.43345113278,14.8997559393771,3274.41341231902,28.3396255626974,5209.55042624829,3.0,3.0,2.06267304816917,3.0
3.0,12.3211937996901,3.0,21890,9.71829940084154,2569.2363024,13700.1981453,3.0,41359.9904711,6730.6775139,32.3208500811688,9.71609066893599,6.67363440738368,3.0,3.0,"Darebin (C)",20378.7047533,28.8485234923355,14.9856782851425,10.0295590205559,17.3674107925165,10842.1768168,3.0,35731.2081665,3.0,3.0,3.0,6979.6304488,13786.3889051,17572.8543307,14.8056071991165,23419.5655392,26.6004987695558,37657.0451504,3.0,3.0,1.86266603043835,3.0
3.0,14.9660214826974,3.0,22110,12.8335390302583,1153.17119222233,6027.68865286442,3.0,13174.8133399813,2784.28593072303,34.9825404977888,13.550860689728,3.72096071621133,3.0,3.0,"East Gippsland (S)",9701.2983794046,30.5629438233013,16.4402394533231,9.92354863370492,17.6450867137583,3757.4132079058,3.0,12689.2075636497,3.0,3.0,3.0,1713.05064844268,5849.09653747301,6541.69913862883,17.1073603208888,9981.52834555001,29.2667007707694,15229.6844632707,3.0,3.0,2.1295994285472,3.0
3.0,13.8586340740652,3.0,22170,11.7634050503112,2637.3679965,13084.7410847,3.0,43899.9933518,7616.4981546,34.0412489175244,11.5989790864348,3.95364193487809,3.0,3.0,"Frankston (C)",18433.3555923,33.3942438847137,14.174867912768,10.0777331869396,17.3798844252058,10603.4996291,3.0,34559.4846515,3.0,3.0,3.0,3969.9832671,15216.4228501,18219.9977837,15.8344192630737,22009.6531335,27.3564764460174,35781.2664426,3.0,3.0,2.02578773817229,3.0
